,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
JaTarvious Whitlow,Whitlow21PROSPECTRB,Auburn,SEC,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,2,21.0,318.0,1805.0,5.7,23.0,0,0.9,18.0,18.0,12.5,15.5,84.5,1.1,1.1,1.0,1.0,31.1,18.8,15.7,18.8,17.3,2.9,-4.5,2.9,-0.8,163.45,144.50,163.45,153.98,12.57,14.45,14.45,13.51,-0.3,NA,0.00,6.48,,2.9,-4.5,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Chase Hayden,Hayden21PROSPECTRB,Arkansas,SEC,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,3,16.0,146.0,712.0,4.9,22.0,0,0.7,6.6,23.5,23.5,13.5,86.5,0.4,0.4,0.1,0.3,8.7,8.4,0.7,8.4,5.2,-0.1,-19.6,-0.1,-9.7,59.90,9.10,59.90,39.07,8.56,2.28,8.56,5.07,-5.0,NA,0.00,3.01,-0.1,-9.5,-19.6,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Trey Sermon,Sermon21PROSPECTRB,Oklahoma,Big 12,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,3,36.0,375.0,2467.0,6.6,37.0,0,1.0,15.7,16.0,15.6,15.8,84.2,0.9,1.2,0.5,0.9,20.0,11.6,6.6,15.5,11.2,3.1,-13.7,3.1,-3.7,148.40,83.60,202.80,144.93,11.42,8.36,14.49,11.42,-2.0,NA,0.00,6.22,3.1,-0.4,-13.7,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Travis Etienne,Etienne21PROSPECTRB,Clemson,ACC,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,3,48.0,537.0,4401.0,8.2,41.0,1,1.2,6.9,20.5,20.5,12.0,88.0,0.8,1.9,1.9,1.5,44.6,15.5,26.7,26.7,22.0,7.0,6.4,7.8,7.1,165.30,358.35,358.35,279.08,12.72,25.60,25.60,20.24,3.4,NA,0.00,11.60,7.0,7.8,6.4,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Kylin Hill,Hill21PROSPECTRB,Mississippi State,SEC,PROSPECT,PROSPECT,RB,2021 PROSPECT,22,3,40.0,458.0,2807.0,6.1,34.0,0,1.2,8.8,19.2,11.4,13.4,86.6,0.4,2.0,2.0,1.2,44.6,5.1,25.8,25.8,15.6,-10.8,9.8,9.8,-1.8,59.10,235.10,235.10,146.90,4.93,19.59,19.59,13.06,-2.1,NA,0.00,7.41,,-10.8,-4.5,9.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Najee Harris,Harris21PROSPECTRB,Alabama,SEC,PROSPECT,PROSPECT,RB,2021 PROSPECT,22,3,37.0,391.0,2538.0,6.5,36.0,1,1.0,10.8,21.8,21.8,14.0,86.0,0.4,1.8,1.8,1.0,48.5,5.1,29.9,29.9,14.8,-10.8,13.9,13.9,-2.6,65.50,274.20,274.20,146.93,6.55,22.85,22.85,12.21,-2.9,NA,0.00,7.40,,-10.8,-10.9,13.9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
CJ Verdell,Verdell21PROSPECTRB,Oregon,Pac-12,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,2,39.0,407.0,2583.0,6.3,26.0,1,1.5,24.2,24.2,9.6,16.9,83.1,1.5,1.5,1.5,1.5,41.3,23.7,21.4,23.7,22.5,7.6,1.3,7.6,4.5,225.70,191.60,225.70,208.65,17.36,14.74,17.36,16.05,1.8,NA,0.00,8.32,,7.6,1.3,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Antonio Gibson,Antonio Gibson,Memphis,CUSA,3,66,RB,2020,22,2,44.0,77.0,1104.0,14.3,19.0,1,2.3,99,735,735,417,26.4,NA,NA,NA,NA,17.4,NA,NA,NA,17.4,NA,NA,NA,NA,27.9,220.40,220.40,124.15,5.58,15.74,15.74,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA,4.39,72,228,16,35,118,NA,NA,122.7741007,117.8022278,8.63,31.13,-,-,-,-,-,-
Jonathan Taylor,Taylor2041RB,Wisconsin,Big Ten,2,41,RB,2020,21,3,40.0,945.0,6444.0,6.8,40.0,1,1.0,4.6,9.9,9.9,5.6,94.4,2.2,2.6,2.4,2.4,59.3,28.2,38.7,38.7,31.6,13.1,17.0,17.0,12.8,293.20,391.80,391.80,338.13,20.94,30.14,30.14,25.47,6.0,169.1,15.14,16.72,13.1,8.2,17.0,,,,32.19,NA,4.39,70.25,226,17,36,123,4.24,7.01,121.6971349,110.9836038,31.13,9.5,-,-,-,-,-,-
AJ Dillon,Dillon2062RB,Boston College,ACC,2,62,RB,2020,22,3,21.0,866.0,4618.0,5.3,35.0,0,0.6,0.0,10.4,10.4,5.1,94.9,1.6,2.1,2.1,1.7,54.2,28.2,29.5,29.5,27.2,8.5,3.2,8.5,4.7,242.90,291.00,291.00,240.93,18.68,24.25,24.25,20.61,2.1,118.2,11.33,11.61,,8.5,2.2,3.2,,,35.06,NA,4.53,70.38,247,23,41,131,NA,7.19,117.3097585,107.394651,9.63,31.63,-,-,-,-,-,-
JK Dobbins,Dobbins2055RB,Ohio State,Big Ten,2,55,RB,2020,21,3,68.0,786.0,5065.0,6.4,41.0,3,1.7,8.8,19.4,11.0,12.4,87.6,1.5,2.1,2.1,1.6,53.5,16.8,29.5,29.5,23.3,1.7,7.8,7.8,4.4,223.80,386.00,386.00,275.50,15.99,27.57,27.57,20.08,2.2,NA,11.19,11.11,1.7,3.8,7.8,,,,30.42,NA,NA,69.5,209,23,NA,NA,NA,NA,NA,NA,9.5,29.75,-,-,-,-,-,-
D'Andre Swift,Swift2035RB,Georgia,SEC,2,35,RB,2020,21,3,68.0,499.0,3507.0,7.0,41.0,2,1.7,19.8,20.5,15.1,18.1,81.9,0.8,1.7,1.7,1.3,41.8,8.2,23.8,23.8,17.3,-6.9,2.1,2.1,-1.5,118.10,215.20,229.40,187.57,7.87,16.55,17.65,14.02,-0.5,119.5,11.04,10.07,-6.9,0.3,2.1,,,,32,NA,4.48,68.25,212,NA,35.5,121,NA,NA,105.2576817,90.58846894,9,29.88,-,-,-,-,-,-
Cam Akers,Akers2052RB,Florida State,ACC,2,52,RB,2020,21,3,69.0,655.0,3361.0,5.1,36.0,2,1.9,10.2,17.0,16.4,14.5,85.5,1.4,1.7,1.7,1.4,64.6,25.3,38.4,38.4,31.9,10.2,16.7,16.7,13.1,180.45,277.40,277.40,204.65,13.88,25.22,25.22,17.37,6.3,136.8,10.78,10.35,10.2,12.3,16.7,,,,30.8,NA,4.47,70.38,217,20,35.5,122,4.42,NA,108.7075322,99.49807989,9,30.63,-,-,-,-,-,-
Ke'Shawn Vaughn,Vaughn2076RB,Vanderbilt,SEC,3,76,RB,2020,23,4,66.0,638.0,3944.0,6.2,46.0,1,1.4,14.1,22.8,20.8,16.4,83.6,0.9,1.8,1.8,1.2,74.6,24.1,43.1,43.1,27.0,9.0,17.0,17.0,5.3,136.20,217.80,238.40,164.60,12.38,18.15,19.87,14.10,0.5,125.2,10.75,11.26,9.0,-8.8,,3.9,17.0,,31.03,NA,4.51,69.63,214,NA,32,117,NA,NA,103.4516928,92.67609757,8.88,30.88,-,-,-,-,-,-
Zack Moss,Moss2086RB,Utah,Pac-12,3,86,RB,2020,22,4,64.0,760.0,4677.0,6.2,44.0,2,1.5,1.0,21.6,21.6,14.3,85.7,0.4,2.1,2.1,1.3,49.0,5.4,29.3,29.3,21.6,-9.6,3.0,7.0,0.9,51.60,301.30,301.30,194.43,5.16,25.11,25.11,17.40,0.7,105.9,9.71,10.04,-9.6,7.0,3.2,3.0,,,32.57,NA,4.65,69.38,223,19,33,NA,4.37,NA,95.39443654,84.85121917,9.25,31.25,-,-,-,-,-,-
Clyde Edwards-Helaire,Edwards-Helaire2032RB,LSU,SEC,1,32,RB,2020,21,3,61.0,405.0,2477.0,6.1,30.0,1,2.0,59.7,59.7,23.4,20.8,79.2,0.1,1.7,1.7,0.9,53.3,0.7,28.9,28.9,14.6,-14.4,7.2,7.2,-4.2,10.70,322.30,322.30,152.42,2.68,23.02,23.02,12.02,-1.6,90.3,9.39,7.37,-14.4,-5.5,7.2,,,,32.18,NA,4.6,67.25,207,15,39.5,123,NA,NA,92.46322019,77.25656737,9.63,29,-,-,-,-,-,-
Darrynton Evans,Evans2093RB,Appalachian State,Sun Belt,3,93,RB,2020,22,3,39.0,521.0,3207.0,6.2,37.0,1,1.1,13.5,13.5,11.8,9.9,90.1,0.3,1.7,1.7,1.2,48.5,2.0,30.2,30.2,16.3,-17.7,3.9,3.9,-6.2,31.10,327.90,327.90,182.13,3.11,23.42,23.42,13.65,-3.7,144.2,9.29,9.67,,-17.7,-4.8,3.9,,,29.02,NA,4.41,70.13,203,20,37,125,NA,NA,107.3424926,97.53935716,9.25,31.63,-,-,-,-,-,-
Joshua Kelley,Kelley20112RB,UCLA,Pac-12,4,112,RB,2020,22,2,38.0,492.0,2567.0,5.2,22.0,1,1.7,13.4,13.4,6.3,10.3,89.7,1.7,1.7,1.2,1.5,64.2,33.1,32.9,33.1,33.0,11.4,6.7,11.4,9.0,242.60,202.10,242.60,222.35,22.05,18.37,22.05,20.21,2.8,133.3,9.11,10.15,,,11.4,6.7,,,29.88,NA,4.49,70.63,212,23,31,121,4.28,6.95,104.3231021,96.16124615,9.63,31.63,-,-,-,-,-,-
Anthony McFarland,McFarland20124RB,Maryland,ACC,4,124,RB,2020,22,2,24.0,269.0,1847.0,6.9,23.0,0,1.0,6.6,17.0,17.0,10.8,89.2,1.5,1.5,1.0,1.3,34.1,14.2,19.3,19.3,16.8,-7.5,-6.9,-6.9,-7.2,141.70,145.00,145.00,143.35,11.81,13.18,13.18,12.50,-2.0,128.7,8.60,9.83,,,-7.5,-6.9,,,31.51,NA,4.44,68.13,208,NA,29.5,116,NA,NA,107.0437833,91.79836717,8.88,30.38,-,-,-,-,-,-
Lamical Perine,Perine20120RB,Florida,SEC,4,120,RB,2020,22,4,67.0,546.0,2979.0,5.5,49.0,1,1.4,27.7,28.9,28.9,21.2,78.8,0.7,1.1,1.0,0.9,36.7,11.3,19.5,24.4,18.1,-3.8,-6.7,4.8,-2.5,79.20,158.80,160.60,131.73,6.09,13.23,13.23,10.84,-0.7,127.1,7.04,7.24,-3.8,4.8,-4.3,-6.7,,,30.34,NA,4.62,70.75,216,22,NA,118,4.31,7.13,94.82347013,87.70528238,10.25,31.63,-,-,-,-,-,-
Deejay Dallas,Dallas20144RB,Miami (FL),ACC,4,144,RB,2020,21,3,28.0,294.0,1845.0,6.3,31.0,0,0.9,29.8,29.8,16.8,17.2,82.8,0.4,1.0,1.0,0.7,47.3,7.2,26.6,26.6,15.6,-7.9,4.9,4.9,-3.2,52.90,157.40,157.40,108.83,6.61,15.74,15.74,10.43,-1.3,120.9,6.58,7.48,-7.9,-6.5,4.9,,,,31.02,NA,4.58,70.13,217,NA,33.5,119,4.32,7.18,98.6342661,89.63740807,9.25,30.63,-,-,-,-,-,-
Eno Benjamin,Benjamin20222RB,Arizona State,Pac-12,7,222,RB,2020,21,3,82.0,658.0,3492.0,5.3,34.0,2,2.4,9.6,24.3,24.3,17.9,82.1,0.2,2.2,1.9,1.4,73.3,2.6,41.9,41.9,27.2,-12.5,20.2,20.2,8.3,26.70,257.00,333.50,205.73,2.97,21.42,25.65,16.68,4.9,114.7,5.86,9.49,-12.5,17.3,20.2,,,,30.68,NA,4.57,68.88,207,12,39,122,4.25,6.97,94.91515053,83.20005507,8.63,31.25,-,-,-,-,-,-
Raymond Calais,Calais20245RB,Louisiana,Sun Belt,7,245,RB,2020,22,4,15.0,248.0,1988.0,8.0,43.0,0,0.3,0.0,9.3,7.3,7.4,92.6,0.1,1.0,1.0,0.6,22.0,2.4,11.6,12.3,7.1,-12.6,-14.6,-9.4,-13.6,17.70,145.10,145.10,77.45,1.97,11.16,11.16,6.21,-6.5,138.3,4.59,8.42,-12.6,-17.6,-9.4,-14.6,,,33.11,NA,4.42,67.88,217,20,37.5,120,NA,NA,113.7105217,96.80828292,9.25,30.63,-,-,-,-,-,-
Amir Rasul,Rasul200RB,Florida State,ACC,UDFA,UDFA,RB,2020,22,3,5.0,54.0,274.0,5.1,17.0,0,0.3,0.0,15.6,4.2,10.9,89.1,0.0,0.2,0.1,0.1,7.4,0.4,3.2,3.2,1.9,-14.6,-18.4,-14.6,-16.9,4.60,11.80,22.00,12.80,4.60,1.97,4.60,2.92,-8.1,NA,0.00,3.09,-14.6,-17.5,-18.4,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Antonio Williams,Williams200RB,North Carolina,ACC,UDFA,UDFA,RB,2020,22,4,23.0,225.0,1304.0,5.8,29.0,0,0.8,0.0,20.6,1.2,12.3,87.7,0.0,0.8,0.3,0.4,21.4,0.2,9.0,13.6,6.8,-14.9,-17.2,-8.1,-13.8,2.80,52.60,109.50,54.85,2.80,4.78,12.17,6.64,-6.3,NA,0.00,5.24,-14.9,-15.2,-8.1,-17.2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Ben LeMay,LeMay200RB,Charlotte,CUSA,UDFA,UDFA,RB,2020,22,4,54.0,650.0,3862.0,5.9,40.0,1,1.4,13.8,18.5,18.4,16.6,83.4,0.2,1.9,1.6,1.2,48.6,2.3,25.2,33.0,20.0,-12.7,-1.0,11.3,-0.7,25.30,228.40,239.50,152.05,4.22,20.76,20.76,13.85,0.2,NA,0.00,9.55,-12.7,-0.3,11.3,-1.0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
BJ Emmons,Emmons200RB,Florida Atlantic,CUSA,UDFA,UDFA,RB,2020,23,2,5.0,91.0,441.0,4.8,11.0,0,0.5,10.4,10.4,4.4,7.0,93.0,0.2,0.2,0.2,0.2,14.4,2.1,7.3,7.3,4.7,-17.6,-18.8,-17.6,-18.2,27.30,63.80,63.80,45.55,4.55,12.76,12.76,8.66,-4.9,NA,0.00,5.35,,-17.6,,,-18.8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Brian Herrien,Herrien200RB,Georgia,SEC,UDFA,UDFA,RB,2020,22,4,26.0,299.0,1543.0,5.2,48.0,0,0.5,3.7,18.3,18.3,9.5,90.5,0.4,0.7,0.7,0.4,24.8,7.9,14.4,14.4,7.3,-7.2,-11.8,-7.2,-13.3,57.70,118.00,118.00,66.08,5.25,9.83,9.83,5.56,-6.9,NA,0.00,4.70,-7.2,-17.4,-16.9,-11.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Brian Robinson,Robinson200RB,Alabama,SEC,UDFA,UDFA,RB,2020,21,3,11.0,191.0,986.0,5.2,26.0,0,0.4,0.0,22.6,22.6,12.6,87.4,0.2,0.7,0.7,0.4,20.4,2.6,10.9,10.9,5.8,-12.5,-10.8,-10.8,-13.0,28.50,95.90,95.90,54.53,5.70,7.99,7.99,6.02,-6.2,NA,0.00,4.18,-12.5,-15.8,-10.8,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Brittain Brown,Brown200RB,Duke,ACC,UDFA,UDFA,RB,2020,22,4,21.0,493.0,2715.0,5.5,38.0,0,0.6,3.1,18.8,18.8,9.6,90.4,1.6,1.6,0.1,0.7,23.8,23.5,0.9,23.5,12.8,8.4,-25.3,8.4,-7.9,201.10,8.90,201.10,104.63,15.47,2.97,15.47,9.19,-2.6,NA,0.00,7.22,8.4,-2.5,-12.2,-25.3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Darius Anderson,Anderson200RB,Texas Christian,MWC,UDFA,UDFA,RB,2020,22,4,43.0,473.0,2642.0,5.6,43.0,1,1.0,8.0,13.5,13.5,8.5,91.5,0.3,1.1,1.1,0.7,30.7,3.2,16.2,16.2,11.9,-11.8,-10.0,-4.1,-8.8,35.90,153.10,153.10,103.80,3.59,12.76,13.95,9.55,-4.0,NA,0.00,6.44,-11.8,-4.1,-9.2,-10.0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Demario McCall,McCall200RB,Ohio State,Big Ten,UDFA,UDFA,RB,2020,23,4,19.0,106.0,814.0,7.7,23.0,0,0.8,23.7,74.3,18.7,33.5,66.5,0.4,0.4,0.1,0.2,6.5,6.1,2.3,6.1,3.0,-13.6,-23.8,-13.6,-20.5,63.40,31.00,63.40,37.10,12.68,3.88,12.68,7.51,-7.4,NA,0.00,5.49,,-13.6,-19.2,-25.3,-23.8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Deon Jackson,Jackson200RB,Duke,ACC,UDFA,UDFA,RB,2020,21,3,51.0,416.0,2034.0,4.9,33.0,2,1.5,4.0,23.0,23.0,22.1,77.9,0.1,1.2,1.0,0.7,37.6,1.1,23.0,23.0,15.7,-14.0,1.4,3.3,-3.1,14.10,151.30,190.60,118.67,1.76,12.61,14.66,9.68,-1.0,NA,0.00,6.05,-14.0,3.3,1.4,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Devwah Whaley,Whaley200RB,Arkansas,SEC,UDFA,UDFA,RB,2020,22,4,38.0,426.0,2230.0,5.2,44.0,0,0.9,18.8,33.7,33.7,19.0,81.0,0.8,0.8,0.5,0.7,25.2,11.5,12.6,16.1,12.7,-3.6,-13.7,-3.5,-8.0,98.10,81.90,117.50,90.75,7.55,6.83,9.79,8.38,-3.4,NA,0.00,5.93,-3.6,-3.5,-11.1,-13.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Jacques Patrick,Patrick200RB,Florida State,ACC,UDFA,UDFA,RB,2020,23,4,47.0,413.0,2146.0,5.2,42.0,1,1.1,16.5,21.3,21.3,16.6,83.4,0.5,1.1,0.6,0.6,29.7,8.7,12.2,21.2,12.1,-6.4,-14.1,-0.5,-8.5,73.60,76.00,154.90,92.40,10.51,6.33,14.08,9.09,-3.6,NA,0.00,6.18,-6.4,-13.2,-0.5,-14.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Jafar Armstrong,Armstrong200RB,Notre Dame,Ind,UDFA,UDFA,RB,2020,21,2,27.0,145.0,761.0,5.2,18.0,0,1.5,29.3,44.3,44.3,33.6,66.4,0.6,0.6,0.3,0.4,13.0,11.6,3.3,11.6,7.4,-8.0,-18.4,-8.0,-13.2,110.20,40.90,110.20,75.55,11.02,5.11,11.02,8.07,-5.2,NA,0.00,4.83,,-8.0,-18.4,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
JaMycal Hasty,Hasty200RB,Baylor,Big 12,UDFA,UDFA,RB,2020,23,4,76.0,454.0,2459.0,5.4,44.0,3,1.7,4.0,28.1,22.0,19.3,80.7,0.6,0.9,0.9,0.6,23.8,8.1,13.2,13.2,10.2,-11.6,-12.9,-11.6,-13.2,85.90,142.70,142.70,104.48,7.16,10.98,10.98,9.46,-5.2,NA,0.00,6.37,,-11.6,-13.2,-15.1,-12.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
