,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
James Conner,Conner17105RB,Pitt,ACC,3,105,RB,2017,22,4,30.0,698.0,4145.0,5.9,39.0,1,0.8,4.0,21.7,21.7,9.9,90.1,1.0,2.0,1.6,1.2,52.3,22.2,26.5,32.7,21.2,13.7,10.5,16.8,6.0,134.20,280.40,344.50,195.13,11.18,21.57,26.50,20.16,2.2,128.2,8.62,9.10,13.7,16.8,-16.8,10.5,,,30.32351558,105,4.65,73.5,233,20,29,113,4.45,7.19,99.67221397,99.51500565,9.875,31.25,0,1,1,2,1,12.86
Brian Hill,Hill17156RB,Wyoming,MWC,5,156,RB,2017,21,3,41.0,816.0,4690.0,5.7,37.0,1,1.1,20.4,20.4,3.5,8.6,91.4,1.2,2.3,1.9,1.8,70.8,23.0,34.2,34.2,30.2,14.6,14.0,17.4,15.3,155.00,332.70,332.70,240.00,14.09,23.76,23.76,19.07,7.3,132.1,8.36,10.75,14.6,17.4,14.0,,,,28.8932704,104.8,4.565,73,219,15,33.5,125,4.32,7.03,100.8581466,99.32249739,8.875,31.375,0,0,0,0,0,4.853333333
Elijah McGuire,McGuire17188RB,Louisiana,Sun Belt,6,188,RB,2017,23,4,130.0,840.0,5695.0,6.8,51.0,4,2.5,30.8,30.8,17.4,24.5,75.5,1.4,1.9,1.5,1.6,45.8,21.1,27.0,34.3,28.1,5.2,20.0,20.0,13.3,212.70,219.50,314.20,252.88,16.36,16.88,24.17,19.88,4.0,124.4,8.15,11.70,,5.2,9.8,18.3,20.0,,30.92599325,100,4.52,69.75,214,15,36,120,4.56,7.26,102.5392248,92.1758512,9,31,0,0,0,0,0,8.535
Aaron Jones,Jones17182RB,UTEP,CUSA,5,182,RB,2017,22,4,71.0,729.0,4760.0,6.5,35.0,2,2.0,1.7,33.7,11.6,13.6,86.4,1.0,2.8,2.8,1.5,82.0,15.2,47.2,47.2,25.8,6.7,31.2,31.2,10.7,110.50,352.75,352.75,197.79,12.28,29.40,29.40,22.72,3.1,121.2,7.93,11.11,6.7,16.5,-11.7,31.2,,,30.27554942,112,4.56,69.5,208,16,37,127,4.2,6.82,96.21304507,85.86509331,9.5,32.5,1,1,2,2,1,14.2
Jeremy McNichols,McNichols17162RB,Boise State,MWC,5,162,RB,2017,21,2,66.0,323.0,2111.0,6.5,21.0,1,3.1,49.4,49.4,25.6,29.1,70.9,0.3,1.7,1.7,1.0,54.3,3.9,36.3,36.3,20.1,-4.6,20.4,20.4,7.9,58.40,386.70,386.70,222.55,6.49,32.23,32.23,19.36,3.4,120.7,6.73,8.43,-4.6,20.4,,,,,31.94827145,NA,4.49,68.625,214,NA,35.5,121,4.28,6.93,105.3072823,91.63236924,10,31.5,0,0,0,0,0,0.4
Jamaal Williams,Williams17134RB,Brigham Young,Ind,4,134,RB,2017,22,3,33.0,593.0,3378.0,5.7,29.0,0,1.1,9.2,9.2,5.5,7.5,92.5,1.2,1.5,1.5,1.1,47.4,17.1,24.5,24.5,16.9,8.6,8.5,8.6,3.5,195.80,224.50,224.50,169.60,16.32,22.45,22.45,17.14,0.5,136.4,6.21,6.50,8.6,-6.7,,8.5,,,28.4548968,95.5,4.585,72.375,212,18,31.5,123,4.42,7.21,95.94194015,92.86365019,10,31.25,0,0,0,2,0,9.206666667
Wayne Gallman,Gallman17140RB,Clemson,ACC,4,140,RB,2017,23,3,66.0,741.0,3902.0,5.3,42.0,3,1.6,12.3,13.0,11.8,12.5,87.5,0.9,1.5,1.1,1.1,50.5,16.7,26.0,26.0,21.8,-3.6,19.0,19.0,7.4,141.70,250.50,280.00,224.07,10.90,16.70,20.00,15.87,0.8,133.7,6.13,6.62,,,-3.6,6.7,19.0,,28.75813738,107.5,4.565,72.5,215,21,30,120,4.28,7.17,99.01598864,96.17305912,9.125,32.625,0,0,0,0,0,5.596666667
Chris Carson,Carson17249RB,Oklahoma State,Big 12,7,249,RB,2017,22,2,30.0,243.0,1374.0,5.7,21.0,0,1.4,24.7,24.7,18.6,21.7,78.3,0.7,0.7,0.7,0.7,28.0,12.7,14.8,14.8,13.8,-7.6,-1.2,-1.2,-4.4,110.05,142.90,142.90,126.48,9.17,15.88,15.88,12.52,-1.6,130.5,2.87,5.89,,,-7.6,-1.2,,,29.77220427,NA,4.58,71.75,218,23,38,NA,4.33,7.58,99.08880189,94.26339559,9.625,33.25,0,1,2,2,2,13.42
Matt Dayes,Dayes17252RB,North Carolina State,ACC,7,252,RB,2017,23,4,98.0,648.0,3793.0,5.9,44.0,3,2.2,40.7,40.7,18.9,24.7,75.3,0.5,1.5,1.5,1.0,50.0,13.6,27.0,27.0,20.0,-2.4,20.0,20.0,5.2,82.50,235.70,235.70,179.33,8.25,18.13,24.96,16.67,0.6,124.6,2.85,5.99,,-2.4,1.0,2.1,20.0,,30.60465256,NA,4.71,68.625,205,18,NA,109,4.56,7.31,83.31059347,72.48624525,10.5,30,0,0,0,0,0,1.62
Devante Mays,Mays17238RB,Utah State,MWC,7,238,RB,2017,23,1,1.0,166.0,975.0,5.9,13.0,0,0.1,0.9,0.9,0.9,0.9,99.1,1.1,1.1,1.1,1.1,42.8,21.5,21.5,21.5,21.5,5.5,5.5,5.5,-,152.50,152.50,152.50,-,11.73,11.73,11.73,-,0.1,116.0,0.00,0.00,,,,5.5,,,32.65046176,118.6,4.57,70.375,230,22,40.5,129,4.58,7.48,105.4612784,96.52278021,NA,NA,0,0,0,0,0,-0.1
De'Veon Smith,Smith170RB,Michigan,Big Ten,UDFA,UDFA,RB,2017,22,4,38.0,533.0,2486.0,4.7,41.0,0,0.9,0.0,17.4,7.2,10.1,89.9,0.1,1.0,1.0,0.7,31.6,1.7,14.3,17.1,12.2,-6.7,-1.7,-0.2,-2.9,11.70,167.20,167.20,106.15,2.93,12.86,12.86,9.07,-1.4,181.1,0.00,2.26,-6.7,-0.2,-3.1,-1.7,,,31.21167144,95,4.9,70.875,223,22,29,108,4.53,7.175,77.3660704,71.81565933,9,29.5,-,-,-,-,-,-
Trey Edmunds,Edmunds170RB,Maryland,Big Ten,UDFA,UDFA,RB,2017,22,4,21.0,281.0,1287.0,4.6,30.0,0,0.7,18.7,18.7,8.1,13.4,86.6,0.9,0.9,0.2,0.4,27.8,30.0,2.6,30.0,10.0,21.5,-13.4,21.5,-5.2,172.00,24.20,172.00,61.43,14.33,4.84,14.33,6.56,-2.7,NA,0.00,4.39,21.5,-14.7,-14.0,-13.4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7.065
Matt Breida,Breida170RB,Georgia Southern,Sun Belt,UDFA,UDFA,RB,2017,22,3,22.0,564.0,3896.0,6.9,37.0,0,0.6,6.1,7.6,7.6,4.0,96.0,2.0,2.0,0.8,1.6,25.4,21.2,13.6,21.2,17.1,5.3,-2.4,5.3,-0.3,274.20,110.90,274.20,217.20,22.85,9.24,22.85,17.53,0.2,131.5,0.00,10.74,,5.3,-3.7,-2.4,,,28.58863127,127.7,4.44,69.25,195,23,42,134,4.39,6.9,100.3535468,88.90537626,NA,NA,0,0,1,1,0,9.056666667
Corey Clement,Clement170RB,Wisconsin,Big Ten,UDFA,UDFA,RB,2017,22,4,29.0,605.0,3371.0,5.6,39.0,0,0.7,1.6,11.1,8.8,8.3,91.7,0.6,1.6,1.6,0.9,47.8,8.8,25.2,25.2,14.1,0.3,9.2,9.2,-1.0,98.60,252.70,252.70,148.53,12.33,19.44,19.44,14.78,-1.7,119.2,0.00,6.06,0.3,-1.0,-12.7,9.2,,,31.45395344,100.6,4.66,70.125,220,19,30.25,117.5,4.22,6.76,93.30587925,84.78500084,9.75,30.5,0,0,0,0,0,7.255
Tion Green,Green170RB,Cincinnati,American,UDFA,UDFA,RB,2017,23,4,18.0,304.0,1457.0,4.8,30.0,0,0.6,0.0,12.2,12.2,8.8,91.2,0.1,0.8,0.8,0.4,31.3,1.7,16.2,16.2,7.9,-6.8,0.2,0.2,-7.2,13.00,148.05,148.05,67.44,4.33,11.39,11.39,7.75,-4.3,166.2,0.00,1.99,-6.8,-4.9,-17.3,0.2,,,30.82292742,88.9,4.84,71,221,18,31.5,108,4.63,7.43,80.54541486,75.02993707,NA,NA,0,0,0,0,0,6.6
Taquan Mizzell,Mizzell170RB,Virginia,ACC,UDFA,UDFA,RB,2017,23,3,143.0,416.0,2284.0,5.5,34.0,3,4.2,47.1,52.1,52.1,50.6,49.4,0.4,1.7,1.7,0.9,34.4,8.2,28.3,28.3,15.6,-7.7,12.3,12.3,-1.8,75.80,261.50,261.50,147.80,7.58,21.79,21.79,12.74,-2.3,132.5,0.00,4.93,,-7.7,-9.8,12.3,,,28.46925547,101.3,4.6,69.75,197,15,34,114,4.3,7.05,87.99639795,79.09045509,NA,NA,0,0,0,0,0,2.93
Tre Madden,Madden170RB,USC,Pac-12,UDFA,UDFA,RB,2017,24,2,32.0,255.0,1489.0,5.8,20.0,0,1.6,22.2,22.7,22.7,22.4,77.6,1.0,1.0,0.6,0.8,21.5,16.3,11.3,16.3,13.8,0.4,-4.7,0.4,-2.2,146.40,111.50,146.40,128.95,13.31,12.39,13.31,12.85,-0.3,NA,0.00,5.62,,0.4,,-4.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.705
Justin Davis,Davis170RB,USC,Pac-12,UDFA,UDFA,RB,2017,21,3,45.0,453.0,2497.0,5.5,36.0,0,1.3,13.4,17.3,15.6,15.7,84.3,0.7,1.1,0.8,0.9,24.8,14.5,9.3,17.4,13.8,6.0,-10.9,6.0,-1.1,117.70,97.90,169.10,128.23,9.05,9.79,13.01,10.62,-0.8,131.8,0.00,2.33,6.0,1.5,-10.9,,,,32.11911073,NA,4.9,66,199,21,33,111,4.26,7.15,69.03967717,55.55432301,NA,NA,0,0,0,0,0,0.525
David Fluellen,Fluellen170RB,Toledo,MAC,UDFA,UDFA,RB,2017,25,4,80.0,641.0,3998.0,6.2,43.0,2,1.9,14.8,23.9,16.5,16.6,83.4,0.3,1.8,1.6,1.1,49.5,4.1,21.5,32.1,16.9,-4.4,5.5,11.8,1.8,37.30,221.30,284.40,164.95,4.14,24.59,24.59,15.35,0.7,NA,0.00,8.66,-4.4,-5.8,11.8,5.5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
Leshun Daniels Jr,Daniels Jr170RB,Iowa,Big Ten,UDFA,UDFA,RB,2017,22,4,10.0,419.0,1976.0,4.7,37.0,0,0.3,0.0,9.3,6.0,4.1,95.9,0.2,1.4,1.4,0.6,45.2,1.5,23.4,23.4,9.7,-7.0,7.4,7.4,-5.5,14.20,180.50,180.50,80.40,2.03,13.88,13.88,6.98,-4.1,122.9,0.00,4.33,-7.0,-14.2,-8.2,7.4,,,31.07170879,NA,4.62,70.875,222,21,36,114,4.5,7.33,97.45745541,90.46494682,NA,NA,-,-,-,-,-,-
Ezekiel Elliott,Elliott164RB,Ohio State,Big Ten,1,4,RB,2016,21,3,58.0,650.0,4410.0,6.8,35.0,2,1.7,8.1,10.5,10.2,10.2,89.8,0.3,2.3,2.3,1.5,57.6,3.5,30.9,30.9,19.5,-5.0,10.6,10.6,4.6,49.50,367.70,367.70,254.33,7.07,28.28,28.28,19.47,2.6,140.1,13.09,12.04,-5.0,8.2,10.6,,,,30.72819248,NA,4.47,71.75,225,NA,32.5,118,NA,NA,112.7151832,107.2319729,10.25,31.25,3,3,4,4,4,21.53
Derrick Henry,Henry1645RB,Alabama,SEC,2,45,RB,2016,22,3,17.0,619.0,3876.0,6.3,38.0,0,0.4,13.8,13.8,3.9,7.4,92.6,0.5,2.1,2.1,1.3,79.2,7.5,40.3,40.3,22.2,-8.4,24.3,24.3,4.8,69.30,410.00,410.00,224.87,7.70,27.33,27.33,16.33,-0.3,117.9,11.80,11.66,,-8.4,-1.5,24.3,,,31.28835389,122.4,4.54,74.5,247,22,37,NA,4.38,7.2,116.2796022,119.2898364,8.75,33,0,1,2,2,2,9.203333333
Kenneth Dixon,Dixon16134RB,Louisiana Tech,CUSA,4,134,RB,2016,22,4,87.0,889.0,5452.0,6.1,47.0,2,1.9,2.8,30.2,30.2,17.8,82.2,1.2,1.8,1.7,1.5,63.6,26.1,39.4,40.9,32.2,17.6,23.4,23.4,17.0,300.90,342.70,366.40,288.55,25.08,31.15,31.15,24.21,7.5,122.1,9.32,11.36,17.6,6.5,20.6,23.4,,,30.73909086,112.6,4.58,70.125,215,18,37.5,121,4.28,6.97,97.72519452,88.79711337,9.5,31.375,0,0,0,0,0,8.35
Kenyan Drake,Drake1673RB,Alabama,SEC,3,73,RB,2016,22,4,46.0,279.0,2065.0,7.4,38.0,1,1.2,0.0,58.7,40.4,27.6,72.4,0.3,1.0,0.6,0.6,17.7,5.6,7.3,15.5,8.7,-2.9,-8.7,-0.5,-6.5,58.10,109.40,148.90,96.13,6.46,8.42,13.62,10.51,-3.0,137.5,8.10,7.00,-2.9,-0.5,-13.9,-8.7,,,27.99273361,104.4,4.45,72.625,210,10,34.5,123,4.21,7.04,107.1048769,104.3847379,9.75,31.75,0,0,2,3,0,8.68
Paul Perkins,Perkins16149RB,UCLA,Pac-12,5,149,RB,2016,21,3,80.0,701.0,4227.0,6.0,39.0,3,2.1,34.1,34.1,15.3,17.5,82.5,0.9,1.8,1.7,1.5,55.6,11.9,30.5,30.5,23.0,3.5,10.2,10.7,8.1,146.90,278.50,278.50,231.57,11.30,21.42,21.42,17.81,4.1,128.6,7.69,9.42,3.5,10.7,10.2,,,,29.52737411,NA,4.54,70.375,208,19,32,124,NA,NA,97.91966504,89.60452053,9,31.625,0,0,0,0,0,4.34
Tyler Ervin,Ervin16119RB,San Jose State,MWC,4,119,RB,2016,22,4,84.0,583.0,3462.0,5.9,35.0,2,2.4,38.1,38.1,17.3,22.1,77.9,0.4,2.1,2.1,1.0,61.3,6.2,35.9,35.9,17.1,-2.2,19.9,19.9,1.9,55.10,328.50,328.50,140.55,6.12,25.27,25.27,11.61,-1.0,136.6,7.67,8.18,-2.2,-15.9,5.8,19.9,,,27.64750175,114.7,4.41,69.875,192,17,39,NA,4.39,7.08,101.5259043,91.5736568,9.125,29.75,0,0,0,0,0,2.553333333
Jordan Howard,Howard16150RB,Indiana,Big Ten,5,150,RB,2016,21,4,24.0,676.0,3974.0,5.9,33.0,0,0.7,8.6,8.6,0.0,6.6,93.4,1.2,1.8,0.0,1.1,27.9,15.3,0.3,29.7,16.5,6.9,-15.7,13.8,1.4,118.40,3.20,258.90,145.85,10.76,3.20,22.54,14.52,2.4,122.9,7.34,8.91,6.9,13.8,0.5,-15.7,,,31.30188042,106.8,4.615,71.875,230,16,34,122,4.39,7.19,101.4077181,96.81482199,9,32.25,0,2,2,3,3,13.12
CJ Prosise,Prosise1690RB,Notre Dame,Ind,3,90,RB,2016,22,2,36.0,46.0,714.0,15.5,19.0,1,1.9,100.0,100.0,80.4,82.4,17.6,0.1,0.7,0.7,0.4,5.1,0.5,7.7,7.7,4.1,-15.4,-12.6,-12.6,-14.0,14.20,111.20,111.20,62.70,2.37,8.55,8.55,5.46,-5.5,136.4,7.14,6.19,,-15.4,-12.6,,,,29.42693128,103.1,4.48,72.5,220,NA,35.5,121,4.47,7.24,109.2296697,106.0976724,8.5,32.125,0,0,0,0,0,5.623333333
Deandre Washington,Washington16143RB,Texas Tech,Big 12,5,143,RB,2016,23,4,124.0,729.0,4502.0,6.2,47.0,3,2.6,22.9,37.4,20.5,24.2,75.8,0.5,1.7,1.7,1.1,50.2,10.5,28.3,28.3,19.2,2.0,21.3,21.3,6.2,84.50,324.70,324.70,184.05,8.45,24.98,24.98,15.17,0.4,117.4,7.03,8.14,2.0,,-6.6,8.3,21.3,,30.79095531,124.4,4.49,68.25,204,24,34.5,116,4.2,7.03,100.3863813,86.38971933,9,30,0,0,0,0,0,4.703333333
Wendell Smallwood,Smallwood16153RB,West Virginia,Big 12,5,153,RB,2016,22,3,68.0,493.0,3080.0,6.2,37.0,2,1.8,37.4,37.4,9.5,20.1,79.9,0.4,1.6,1.6,1.0,43.5,5.5,23.0,23.0,13.6,-10.4,7.0,7.0,-3.8,52.30,247.90,247.90,149.33,4.75,19.07,19.07,11.73,-2.8,136.3,6.73,8.08,,-10.4,-8.0,7.0,,,29.42275993,105.3,4.465,70.5,208,16,33.5,120,4.28,6.83,104.666446,96.11923831,9.25,30.5,0,0,0,0,0,6.283333333
Alex Collins,Collins16171RB,Arkansas,SEC,5,171,RB,2016,22,3,27.0,692.0,3870.0,5.6,38.0,0,0.7,5.8,5.8,5.7,4.3,95.7,1.4,1.9,1.9,1.5,62.7,18.1,32.0,32.0,23.2,9.7,11.7,11.7,8.3,143.90,300.20,300.20,210.00,11.99,23.09,23.09,16.46,3.9,119.3,6.59,8.58,9.7,3.5,11.7,,,,31.13593853,NA,4.59,70,217,18,30.5,113,NA,NA,97.77751316,88.5293811,9.25,30.25,0,0,1,1,1,8.87
Jonathan Williams,Williams16156RB,Arkansas,SEC,5,156,RB,2016,22,3,26.0,432.0,2666.0,6.2,36.0,0,0.7,47.4,47.4,5.2,12.9,87.1,0.5,1.4,1.4,1.1,40.2,7.6,23.1,23.1,17.0,-0.9,2.9,4.4,2.1,63.90,220.50,220.50,143.22,5.81,16.96,16.96,11.62,1.1,125.6,5.87,6.86,-0.9,4.4,2.9,,,,30.90068449,NA,4.655,70.75,220,16,NA,NA,4.34,7.02,93.70741016,86.67579287,10,31.625,0,0,0,0,0,1.28
Devontae Booker,Booker16136RB,Utah,Pac-12,4,136,RB,2016,24,2,80.0,640.0,3395.0,5.3,23.0,2,3.5,16.8,20.0,20.0,18.3,81.7,1.9,1.9,1.7,1.8,51.6,32.5,28.0,32.5,30.3,25.5,27.8,27.8,26.6,296.80,265.95,296.80,281.38,22.83,26.60,26.60,24.71,4.2,113.5,4.74,4.28,,,,,25.5,27.8,30.5439869,NA,NA,71,219,22,NA,NA,NA,NA,NA,NA,8.625,31.625,0,0,0,0,0,7
Dan Vitale,Vitale16197RB,Northwestern,Big Ten,6,197,RB,2016,22,4,135.0,141.0,1456.0,10.3,44.0,4,3.1,99.3,100.0,100.0,98.0,2.0,0.3,0.5,0.4,0.4,0.3,6.9,17.4,17.4,10.5,-1.6,1.4,1.4,-4.7,69.00,92.50,92.90,86.65,7.67,7.71,8.38,7.87,-3.1,120.0,4.53,6.40,-1.6,-7.1,-11.4,1.4,,,31.64018927,145,4.6,72.875,239,30,38.5,123,4.12,7.12,106.7570513,104.7864148,9.75,31.75,0,0,0,0,0,1.21
Darius Jackson,Jackson16216RB,Eastern Michigan,MAC,6,216,RB,2016,22,4,44.0,365.0,1971.0,5.4,32.0,2,1.4,0.0,33.4,15.6,19.0,81.0,0.0,1.6,1.6,0.6,62.9,0.2,36.1,36.1,14.0,-8.3,35.9,35.9,2.8,1.20,245.90,245.90,91.78,1.20,20.49,20.49,8.48,-1.9,142.7,4.22,6.68,-8.3,-9.1,-7.3,,,35.9,29.83705778,126.1,4.45,72,220,20,41,133,4.32,6.87,112.2051092,107.4884331,NA,NA,-,-,-,-,-,-
Dwayne Washington,Washington16236RB,Washington,Pac-12,7,236,RB,2016,22,3,41.0,267.0,1722.0,6.4,28.0,1,1.5,1.5,52.8,52.8,23.9,76.1,0.3,0.8,0.7,0.6,23.3,6.6,13.9,17.1,12.5,-9.4,-2.1,-2.1,-4.9,64.70,126.70,147.80,113.07,8.09,15.84,15.84,12.08,-2.3,130.8,3.83,6.88,,-9.4,-3.1,-2.1,,,29.42100136,123,4.53,73,223,21,37.5,127,4.27,6.9,105.9112395,104.301819,NA,NA,0,0,0,0,0,2.506666667
Daniel Lasco,Lasco16237RB,California,Pac-12,7,237,RB,2016,23,4,48.0,396.0,2330.0,5.9,31.0,1,1.5,0.0,24.2,6.8,19.7,80.3,0.1,1.5,0.4,0.6,37.8,2.6,8.9,32.5,13.7,-13.3,1.9,16.5,-1.1,16.90,57.50,264.10,100.25,5.63,7.19,22.01,10.66,-2.8,137.3,3.72,6.74,,-13.3,-9.4,16.5,1.9,,28.14938368,130.8,4.46,72.25,209,23,41.5,135,4.22,7.055,105.6420565,101.8967453,9.125,32,0,0,0,0,0,2.1
Andy Janovich,Janovich16176RB,Nebraska,Big Ten,6,176,RB,2016,23,3,5.0,50.0,358.0,7.2,12.0,0,0.4,68.4,100.0,18.0,24.3,75.7,0.0,0.3,0.3,0.1,11.9,0.2,6.4,6.4,2.2,-15.8,-0.6,-0.6,-10.7,3.90,52.30,52.30,19.60,1.95,5.81,5.81,3.45,-3.8,148.1,2.45,2.31,,-15.8,,-15.9,-0.6,,31.39999249,125.6,4.81,73,238,30,34,119,4.32,7.28,88.92556787,87.58343396,9.75,31.625,0,0,0,0,0,2.046666667
Derek Watt,Watt16198RB,Wisconsin,Big Ten,6,198,RB,2016,23,4,30.0,43.0,369.0,8.6,22.0,0,1.4,96.8,96.8,75.5,83.7,16.3,0.2,0.2,0.2,0.1,1.1,1.7,1.7,1.7,1.2,-14.2,-5.2,-5.2,-13.6,27.50,33.40,33.40,18.23,3.06,4.18,4.18,2.60,-6.3,159.1,1.53,1.76,,-14.2,-18.9,-16.0,-5.2,,30.1719049,104.3,4.8,74,235,19,33.5,116,4.34,NA,88.53865258,89.60795612,NA,NA,0,0,0,0,0,1.386666667
Jalen Richard,Richard160RB,Southern Mississippi,CUSA,UDFA,UDFA,RB,2016,22,4,83.0,480.0,2761.0,5.8,41.0,3,2.0,8.4,43.8,20.5,24.4,75.6,0.6,1.4,1.4,0.8,44.2,14.9,24.9,24.9,15.6,6.4,8.9,8.9,0.4,84.50,264.20,264.20,125.78,8.45,20.32,20.32,11.72,-1.0,109.9,0.00,5.45,6.4,-4.1,-9.4,8.9,,,31.1296311,82.6,4.65,68.375,207,13,35.5,114,5,7.41,88.54999267,76.48546584,NA,NA,0,0,0,1,0,8.213333333
Peyton Barber,Barber160RB,Auburn,SEC,UDFA,UDFA,RB,2016,22,2,11.0,259.0,1183.0,4.6,18.0,0,0.6,0.0,9.9,9.9,9.5,90.5,0.1,1.3,1.3,0.7,42.8,0.4,22.6,22.6,11.5,-19.9,6.6,6.6,-6.6,5.40,201.90,201.90,103.65,1.08,15.53,15.53,8.31,-3.3,108.2,0.00,5.27,,,-19.9,6.6,,,32.71425799,112.1,4.645,70,228,20,32.25,111,4.21,7.065,97.95395354,88.69675548,9.375,30.25,0,0,0,1,1,6.996666667
Rob Kelley,Kelley160RB,Tulane,American,UDFA,UDFA,RB,2016,23,3,70.0,314.0,1487.0,4.7,36.0,1,1.9,54.3,54.3,12.5,36.9,63.1,0.8,0.8,0.3,0.6,24.6,20.3,7.9,20.3,14.2,4.4,0.9,4.4,-0.2,132.60,44.50,132.60,92.90,11.05,3.71,11.05,7.74,-0.2,124.7,0.00,3.73,,4.4,-5.9,,0.9,,31.855896,86.5,4.73,70.625,226,16,29.5,110,4.68,7.24,90.30127282,83.23395579,NA,NA,0,0,0,1,0,5.506666667
Byron Marshall,Marshall160RB,Oregon,Pac-12,UDFA,UDFA,RB,2016,22,3,88.0,395.0,3049.0,7.7,37.0,1,2.4,3.0,71.9,71.9,38.4,61.6,0.4,1.3,1.3,1.0,19.0,4.9,12.1,16.6,11.2,-3.6,-8.1,0.7,-3.7,71.10,255.50,255.50,180.97,7.11,17.03,18.03,14.06,-1.7,NA,0.00,7.54,-3.6,0.7,-8.1,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3.683333333
Kenneth Farrow,Farrow160RB,Houston,American,UDFA,UDFA,RB,2016,23,4,74.0,634.0,3526.0,5.6,48.0,3,1.5,26.1,26.1,11.0,15.5,84.5,0.7,1.3,1.0,0.9,36.8,11.0,14.4,25.9,16.9,-4.9,7.5,9.9,2.2,101.10,189.70,229.10,162.15,8.43,15.81,17.62,13.39,-0.6,111.7,0.00,5.88,,-4.9,-3.8,9.9,7.5,,31.8766602,124.8,4.64,69.5,219,23,38,122,4.19,7,94.49355503,84.33846813,NA,NA,0,0,0,0,0,3.92
DJ Foster,Foster160RB,Arizona State,Pac-12,UDFA,UDFA,RB,2016,22,4,222.0,666.0,4813.0,7.2,53.0,4,4.2,51.9,67.6,67.6,51.1,48.9,1.0,1.8,0.8,1.2,27.8,13.4,10.6,30.5,17.8,4.9,-5.4,10.2,2.6,176.60,169.40,310.75,223.79,13.58,13.03,23.90,16.89,2.1,133.1,0.00,9.83,4.9,0.8,10.2,-5.4,,,27.49558468,108.4,4.54,70.25,193,14,35.75,117,4.07,6.75,90.85815074,82.83536526,9.25,30.5,0,0,0,0,0,3.335
Josh Ferguson,Ferguson160RB,Illinois,Big Ten,UDFA,UDFA,RB,2016,23,5,168.0,673.0,4093.0,6.1,46.0,4,3.7,21.2,44.6,28.3,36.8,63.2,0.1,1.5,1.1,0.9,41.6,0.7,22.6,29.8,18.1,-7.8,15.6,15.6,4.5,8.60,165.80,247.40,147.68,4.30,18.42,20.62,13.96,0.3,128.6,0.00,7.57,-7.8,-7.8,8.8,13.8,15.6,,28.81999416,NA,4.48,69.5,198,21,34.5,120,NA,NA,98.30670275,87.72527805,9,30,0,0,0,0,0,3.075
Brandon Wilds,Wilds160RB,South Carolina,SEC,UDFA,UDFA,RB,2016,23,4,59.0,438.0,2384.0,5.4,37.0,0,1.6,21.9,35.0,20.0,22.7,77.3,0.7,0.9,0.9,0.7,28.8,8.9,15.8,15.8,11.3,0.4,8.9,8.9,-1.6,95.20,105.90,119.30,98.35,10.58,11.77,11.77,10.68,-1.8,131.5,0.00,5.20,0.4,,-12.8,-3.1,8.9,,29.22503183,117.4,4.54,72.75,220,21,35.75,118,4.305,7.08,103.5688765,101.2947682,NA,NA,0,0,0,0,0,0.7
Joe Kerridge,Kerridge160RB,Michigan,Big Ten,UDFA,UDFA,RB,2016,23,3,12.0,16.0,149.0,9.3,10.0,0,1.2,100.0,100.0,48.6,60.4,39.6,0.0,0.1,0.1,0.1,1.4,0.1,1.4,1.4,0.6,-15.8,-14.6,-14.6,-16.8,2.20,16.90,16.90,8.97,2.20,3.38,3.38,2.51,-7.1,160.2,0.00,1.33,,-15.8,-20.0,-14.6,,,33.22763253,114,4.94,72,245,24,34.5,117,4.29,7.14,82.27886352,78.83391158,NA,NA,0,0,0,0,0,1.3
